ITDATE,SKU,ITQTY,ITSTUN,IG,IPG,HTS,CLASS,PLANNING,ABC,UOM,CREATION,CAT
20000929,SKU8590,6,BX,IG2,IPG321,HTS97,1,1,C,BX,20000929,CAT1
20000929,SKU8594,1,BX,IG2,IPG321,HTS97,1,1,C,BX,20000929,CAT1
20000929,SKU8598,74,BX,IG2,IPG321,HTS97,1,1,C,BX,20000929,CAT1
20000929,SKU9024,17,BX,IG12,IPG238,HTS15,1,1,C,BG,20000929,CAT2
20000929,SKU9036,13,BD,IG12,IPG244,HTS65,1,0,A,BDL,20000929,CAT2
20000929,SKU9149,20,BX,IG12,IPG1887,HTS15,1,0,C,BX,20000929,CAT2
20000930,SKU10015,9,BX,IG13,IPG370,HTS15,1,1,B,BX,20000930,CAT3
20000930,SKU10017,40,BG,IG14,IPG462,HTS15,1,0,C,BX,20000930,CAT8
20000930,SKU10020,5,BG,IG13,IPG422,HTS15,1,1,C,BG,20000930,CAT3
20000930,SKU10237,3,BAG,IG14,IPG506,HTS48,1,1,C,BG,20000930,CAT8
20000930,SKU10240,18,BX,IG21,IPG1926,HTS22,2,0,C,BX,20000930,CAT6
20000930,SKU10241,45,BX,IG21,IPG1927,HTS22,2,0,C,BX,20000930,CAT6
20000930,SKU10242,101,BX,IG21,IPG1928,HTS22,2,0,C,BX,20000930,CAT6
20000930,SKU10505,21,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10509,3,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10515,9,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10516,19,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10517,2,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10518,7,BX,IG7,IPG465,HTS92,1,0,C,BX,20000930,CAT8
20000930,SKU10521,131,BX,IG7,IPG465,HTS92,1,0,A,BX,20000930,CAT8
20000930,SKU10523,11,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10526,30,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10540,29,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10541,12,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10542,2,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10543,26,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10544,14,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10545,10,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10547,6,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10548,30,BX,IG7,IPG443,HTS95,1,0,C,BX,20000930,CAT8
20000930,SKU10554,307,BX,IG7,IPG443,HTS95,1,0,B,BX,20000930,CAT8
20000930,SKU5473,41,BX,IG14,IPG1090,HTS18,1,1,C,BX,20000930,CAT8
20000930,SKU5474,34,BX,IG14,IPG1091,HTS15,2,0,C,BX,20000930,CAT8
20000930,SKU5475,11,BX,IG14,IPG1129,HTS16,1,1,C,BX,20000930,CAT8
20000930,SKU5479,9,BX,IG14,IPG1130,HTS119,2,0,C,BX,20000930,CAT8
20000930,SKU5509,13,BX,IG14,IPG1092,HTS15,2,0,C,BX,20000930,CAT8
20000930,SKU5552,36,BX,IG14,IPG1093,HTS119,2,0,B,BX,20000930,CAT8
20000930,SKU5556,14,BX,IG14,IPG1063,HTS15,2,0,C,BX,20000930,CAT8
20000930,SKU5557,9,BX,IG14,IPG1094,HTS119,2,0,C,BX,20000930,CAT8
20000930,SKU5561,17,BX,IG14,IPG1131,HTS97,1,1,C,BX,20000930,CAT8
20000930,SKU5567,27,BX,IG14,IPG1095,HTS119,2,0,A,BX,20000930,CAT8
20000930,SKU5696,12,BX,IG14,IPG1057,HTS119,1,1,C,BX,20000930,CAT8
20000930,SKU5700,6,BX,IG14,IPG1097,HTS86,1,1,C,BX,20000930,CAT8
20000930,SKU5701,13,BX,IG14,IPG1098,HTS124,1,1,C,BX,20000930,CAT8
