WHS,ZONE,TYPE,AISLE,COLUMN,SHELF,LOC
80,WH,,,,0,ACTELMA
80,WH,,,,0,CY BULK
80,WH,,,,0,DAVE1
80,WH,,,,0,DEBBIE
80,WH,,,,0,DM01
80,WH,,,,0,IRO
80,WH,,,,0,KITQC
80,WH,,,,0,P001
80,WH,,,,0,P002
80,WH,,,,0,P003
80,WH,,,,0,P004
80,WH,,,,0,P005
80,WH,,,,0,P006
80,WH,,,,0,P007
80,WH,,,,0,P008
80,WH,,,,0,P009
80,WH,,,,0,P010
80,WH,,,,0,P011
80,WH,,,,0,P012
80,WH,,,,0,P013
80,WH,,,,0,P014
80,WH,,,,0,P015
80,WH,,,,0,P016
80,WH,,,,0,P017
80,WH,,,,0,P018
80,WH,,,,0,P019
80,WH,,,,0,P020
80,WH,,,,0,P021
80,WH,,,,0,P022
80,WH,,,,0,P023
80,WH,,,,0,P024
80,WH,,,,0,P025
80,WH,,,,0,P026
80,WH,,,,0,P027
80,WH,,,,0,P028
80,WH,,,,0,P029
80,WH,,,,0,P030
80,WH,,,,0,P031
80,WH,,,,0,P032
80,WH,,,,0,P033
80,WH,,,,0,P034
80,WH,,,,0,P035
80,WH,,,,0,P036
80,WH,,,,0,P037
80,WH,,,,0,P038
80,WH,,,,0,P039
80,WH,,,,0,P040
80,WH,,,,0,P041
80,WH,,,,0,P042
80,WH,,,,0,P043
80,WH,,,,0,P044
80,WH,,,,0,P045
80,WH,,,,0,P046
80,WH,,,,0,P047
80,WH,,,,0,P048
80,WH,,,,0,P049
80,WH,,,,0,P050
80,WH,,,,0,P051
80,WH,,,,0,P052
80,WH,,,,0,P053
80,WH,,,,0,P054
80,WH,,,,0,P055
80,WH,,,,0,P056
80,WH,,,,0,P057
80,WH,,,,0,P058
80,WH,,,,0,P059
80,WH,,,,0,P060
80,WH,,,,0,P061
80,WH,,,,0,P062
80,WH,,,,0,P063
80,WH,,,,0,P064
80,WH,,,,0,P065
80,WH,,,,0,P066
80,WH,,,,0,P067
80,WH,,,,0,P068
80,WH,,,,0,P069
80,WH,,,,0,P070
80,WH,,,,0,P071
80,WH,,,,0,P072
80,WH,,,,0,P073
80,WH,,,,0,P074
80,WH,,,,0,P075
80,WH,,,,0,P076
80,WH,,,,0,P077
80,WH,,,,0,P078
80,WH,,,,0,P079
80,WH,,,,0,P080
80,WH,,,,0,P081
80,WH,,,,0,P082
80,WH,,,,0,P083
80,WH,,,,0,P084
80,WH,,,,0,P085
80,WH,,,,0,P086
80,WH,,,,0,P087
80,WH,,,,0,P088
80,WH,,,,0,P089
80,WH,,,,0,P090
80,WH,,,,0,P091
80,WH,,,,0,P092
80,WH,,,,0,P093
80,WH,,,,0,P094
80,WH,,,,0,P095
80,WH,,,,0,P096
80,WH,,,,0,P097
80,WH,,,,0,P098
80,WH,,,,0,P099
80,WH,,,,0,P100
80,WH,,,,0,P101
80,WH,,,,0,P102
80,WH,,,,0,P103
80,WH,,,,0,P104
80,WH,,,,0,P105
80,WH,,,,0,P106
80,WH,,,,0,P107
80,WH,,,,0,P108
80,WH,,,,0,P109
80,WH,,,,0,P110
80,WH,,,,0,P111
80,WH,,,,0,P112
80,WH,,,,0,P113
80,WH,,,,0,P114
