TDATE,SKU,LOC,QTY,AISLE,COLUMN,SHELF,TYPE,IG,IPG,HTS,CLASS,PLANNING,ABC,UOM,CREATION,CAT
20180210,SKU3921,17Q3,-1,17,Q,3,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3922,17Q2,1,17,Q,2,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3923,17W2,4,17,W,2,LOC4,IG56,,HTS119,1,1,C,PC,20161028,CAT17
20180210,SKU3924,17B2,-1,17,B,2,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3926,15P7,-2,15,P,7,LOC4,IG56,,HTS119,1,1,C,PC,20161028,CAT17
20180210,SKU3927,18O9,18,18,O,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3927,19I8,-3,19,I,8,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3927,19N8,-21,19,N,8,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3927,22H7,2,22,H,7,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3928,02I10,2,02,I,10,LOC5,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3928,17G5,1,17,G,5,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3928,17J2,-12,17,J,2,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3930,18D1,-8,18,D,1,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3931,18L8,-3,18,L,8,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3931,22H7,-10,22,H,7,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3931,23D6,2,23,D,6,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17
20180210,SKU3932,02Q9,-2,02,Q,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3932,18K9,-3,18,K,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3932,22H7,4,22,H,7,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17
20180210,SKU3962,16Z2,4,16,Z,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3963,13B3,9,13,B,3,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3963,16J6,-10,16,J,6,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3964,02F9,-7,02,F,9,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3964,17V2,-9,17,V,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3967,17P2,1,17,P,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3969,19N1,2,19,N,1,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3971,18A1,-6,18,A,1,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3972,18B2,-6,18,B,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17
20180210,SKU3992,12I6,-144,12,I,6,LOC4,IG46,,HTS119,1,1,B,PC,20120113,CAT17
20180210,SKU3992,17E5,-4,17,E,5,LOC4,IG46,,HTS119,1,1,B,PC,20120113,CAT17
20180210,SKU3992,17V1,3,17,V,1,LOC4,IG46,,HTS119,1,1,B,PC,20120113,CAT17
20180210,SKU3993,13L6,-6,13,L,6,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU3993,13T1,-52,13,T,1,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU3993,14R8,-1,14,R,8,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU3993,15G5,20,15,G,5,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU3993,16L4,20,16,L,4,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU3993,99F01,-21,99,F,01,LOC5,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4015,14P2,-4,14,P,2,LOC4,IG46,,HTS119,1,1,C,PC,20120113,CAT17
20180210,SKU4016,13Z3,-26,13,Z,3,LOC4,IG46,,HTS119,1,1,B,PC,20120113,CAT17
20180210,SKU4019,14V4,31,14,V,4,LOC4,IG46,,HTS119,1,1,C,PC,20120113,CAT17
20180210,SKU4019,99D07,-32,99,D,07,LOC5,IG46,,HTS119,1,1,C,PC,20120113,CAT17
20180210,SKU4020,13Z2,5,13,Z,2,LOC4,IG46,,HTS119,1,1,B,PC,20120113,CAT17
20180210,SKU4021,14U2,92,14,U,2,LOC4,IG46,,HTS119,1,1,C,PC,20120113,CAT17
20180210,SKU4021,14U3,-96,14,U,3,LOC4,IG46,,HTS119,1,1,C,PC,20120113,CAT17
20180210,SKU4038,12C8,-4,12,C,8,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4039,02F7,-14,02,F,7,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4039,15C3,-9,15,C,3,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4039,16G4,-10,16,G,4,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4039,17A1,-4,17,A,1,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4040,14X5,27,14,X,5,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4040,14X7,-122,14,X,7,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
20180210,SKU4040,14Z4,133,14,Z,4,LOC4,IG46,,HTS119,1,1,A,PC,20120113,CAT17
