SKU,IG,IPG,HTS,CLASS,PLANNING,ABC,UOM,CREATION,CAT
SKU1,IG71,,HTS143,1,1,A,PC,20160914,CAT14
SKU2,IG71,,HTS143,1,1,B,PC,20160914,CAT14
SKU3,IG71,,HTS143,1,1,B,EA,20160630,CAT14
SKU4,IG71,,HTS143,1,1,B,EA,20160630,CAT14
SKU5,IG22,IPG542,HTS48,1,1,C,RL,20180919,CAT7
SKU6,IG71,,HTS129,2,0,A,PC,20180723,CAT14
SKU7,IG71,,HTS13,1,0,B,PC,20210223,CAT14
SKU8,IG71,,HTS13,1,0,B,PC,20210223,CAT14
SKU9,IG71,,HTS13,1,0,B,PC,20210223,CAT14
SKU10,IG71,,HTS136,1,0,C,EA,20121221,CAT14
SKU11,IG71,,HTS134,2,0,A,EA,20071029,CAT14
SKU12,IG71,,HTS134,2,0,A,PC,20200519,CAT14
SKU13,IG71,,HTS134,2,0,C,PC,20200519,CAT14
SKU14,IG71,,HTS177,2,0,C,EA,20110127,CAT14
SKU15,IG71,,HTS176,1,0,C,PC,20190716,CAT14
SKU16,IG32,IPG531,HTS61,1,1,A,BX,20140114,CAT9
SKU17,IG32,IPG531,HTS61,1,1,C,BX,20140114,CAT9
SKU18,IG27,IPG1204,HTS50,2,0,B,RL,20171115,CAT7
SKU19,IG27,IPG1204,HTS50,2,0,B,RL,20171115,CAT7
SKU20,IG27,IPG1205,HTS50,2,0,C,RL,20190104,CAT7
SKU21,IG67,,HTS120,1,1,C,BX,20070531,CAT14
SKU22,IG64,,HTS15,1,1,C,BX,20110929,CAT14
SKU23,IG17,IPG1700,HTS95,1,1,C,BX,20191112,CAT12
SKU24,IG17,IPG1700,HTS95,1,1,C,BX,20191112,CAT12
SKU25,IG17,IPG1700,HTS95,1,1,B,BX,20191112,CAT12
SKU26,IG17,IPG1700,HTS95,1,1,B,BX,20191112,CAT12
SKU27,IG17,IPG1700,HTS95,1,1,A,BX,20191112,CAT12
SKU28,IG16,IPG1701,HTS15,1,1,C,BX,20191112,CAT12
SKU29,IG16,IPG1701,HTS15,1,1,C,BX,20191112,CAT12
SKU30,IG16,IPG1701,HTS15,1,1,C,BX,20191112,CAT12
SKU31,IG16,IPG1701,HTS15,1,1,C,BX,20191112,CAT12
SKU32,IG16,IPG1701,HTS15,1,1,B,BX,20191112,CAT12
SKU33,IG71,,HTS147,1,1,C,EA,20140306,CAT14
SKU34,IG67,,HTS119,1,1,A,BX,20181009,CAT14
SKU35,IG31,IPG1580,HTS55,1,1,A,YD,20170905,CAT12
SKU36,IG31,IPG1580,HTS55,1,1,A,YD,20170829,CAT12
SKU37,IG31,IPG1580,HTS55,1,1,A,YD,20170829,CAT12
SKU38,IG71,,HTS139,1,1,C,EA,20141217,CAT14
SKU39,IG71,,HTS139,1,1,C,EA,20141217,CAT14
SKU40,IG61,,HTS6,1,1,C,BX,20160513,CAT14
SKU41,IG61,,HTS6,1,1,C,BX,20160513,CAT14
SKU42,IG61,,HTS6,1,1,C,BX,20160513,CAT14
SKU43,IG61,,HTS6,1,1,C,BX,20160513,CAT14
SKU44,IG61,,HTS6,1,1,A,BX,20091210,CAT14
SKU45,IG61,,HTS6,1,1,A,BX,20090501,CAT14
SKU46,IG61,,HTS6,1,1,B,BX,20071015,CAT14
SKU47,IG61,,HTS6,1,1,A,BX,20071015,CAT14
SKU48,IG61,,HTS6,1,1,A,BX,20071015,CAT14
SKU49,IG61,,HTS6,1,1,A,BX,20090501,CAT14
SKU50,IG61,,HTS6,1,1,C,BX,20071015,CAT14
SKU51,IG61,,HTS6,1,1,B,BX,20071015,CAT14
SKU52,IG61,,HTS6,1,1,A,BX,20100511,CAT14
SKU53,IG61,,HTS6,1,1,C,BX,20100511,CAT14
SKU54,IG61,,HTS6,1,1,B,BX,20100511,CAT14
SKU55,IG61,,HTS6,1,1,A,BX,20100511,CAT14
SKU56,IG71,,HTS101,1,1,B,PC,20071101,CAT14
SKU57,IG22,IPG1212,HTS48,1,0,B,RL,20171115,CAT7
SKU58,IG22,IPG1212,HTS48,1,0,B,RL,20171115,CAT7
SKU59,IG22,IPG1212,HTS48,1,0,C,RL,20171115,CAT7
SKU60,IG22,IPG1212,HTS48,1,0,C,RL,20171115,CAT7
