TDATE,SKU,LOC,QTY,AISLE,COLUMN,SHELF,TYPE,IG,IPG,HTS,CLASS,PLANNING,ABC,UOM,CREATION,CAT,COSTX,QTYBEFORE,QTYVAR,WEIGHT,LENGTH,HEIGHT,WIDTH,CONTRPERC
20180210,SKU3921,17Q3,-1,17,Q,3,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-289.8802,38,-2.63,0,0,0,0,0.01
20180210,SKU3922,17Q2,1,17,Q,2,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,289.5527,4,25,0,0,0,0,0
20180210,SKU3923,17W2,4,17,W,2,LOC4,IG56,,HTS119,1,1,C,PC,20161028,CAT17,1111.3121,8,50,0,0,0,0,0
20180210,SKU3924,17B2,-1,17,B,2,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-266.8633,11,-9.09,0,0,0,0,0
20180210,SKU3926,15P7,-2,15,P,7,LOC4,IG56,,HTS119,1,1,C,PC,20161028,CAT17,-517.0436,18,-11.11,0,0,0,0,0
20180210,SKU3927,18O9,18,18,O,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,7206.8887,1,1800,0,0,0,0,0.01
20180210,SKU3927,19I8,-3,19,I,8,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-1201.1481,16,-18.75,0,0,0,0,0.01
20180210,SKU3927,19N8,-21,19,N,8,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-8408.0369,21,-100,0,0,0,0,0.01
20180210,SKU3927,22H7,2,22,H,7,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,800.7654,8,25,0,0,0,0,0.01
20180210,SKU3928,02I10,2,2,I,10,LOC5,IG56,,HTS119,1,1,A,PC,20161028,CAT17,792.6879,15,13.33,0,0,0,0,0.01
20180210,SKU3928,17G5,1,17,G,5,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17,396.3439,9,11.11,0,0,0,0,0.01
20180210,SKU3928,17J2,-12,17,J,2,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17,-4756.1273,12,-100,0,0,0,0,0.01
20180210,SKU3930,18D1,-8,18,D,1,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-2825.4134,19,-42.11,0,0,0,0,0.01
20180210,SKU3931,18L8,-3,18,L,8,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17,-1127.2411,23,-13.04,0,0,0,0,0.01
20180210,SKU3931,22H7,-10,22,H,7,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17,-3757.4705,10,-100,0,0,0,0,0.01
20180210,SKU3931,23D6,2,23,D,6,LOC4,IG56,,HTS119,1,1,A,PC,20161028,CAT17,751.4941,52,3.85,0,0,0,0,0.01
20180210,SKU3932,02Q9,-2,2,Q,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-704.0251,15,-13.33,0,0,0,0,0.01
20180210,SKU3932,18K9,-3,18,K,9,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,-1056.0377,3,-100,0,0,0,0,0.01
20180210,SKU3932,22H7,4,22,H,7,LOC4,IG56,,HTS119,1,1,B,PC,20161028,CAT17,1408.0503,14,28.57,0,0,0,0,0.01
20180210,SKU3962,16Z2,4,16,Z,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17,964.1434,16,25,0,0,0,0,0
20180210,SKU3963,13B3,9,13,B,3,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17,2166.3698,11,81.82,0,0,0,0,0
20180210,SKU3963,16J6,-10,16,J,6,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17,-2407.0776,10,-100,0,0,0,0,0
20180210,SKU3964,02F9,-7,2,F,9,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17,-2194.626,7,-100,0,0,0,0,0
20180210,SKU3964,17V2,-9,17,V,2,LOC4,IG56,,HTS119,1,0,C,PC,20161028,CAT17,-2821.662,9,-100,0,0,0,0,0
