TDATE,SKU,LOC,QTY,AISLE,COLUMN,SHELF,TYPE,IG,HTS,CLASS,PLANNING,ABC,UOM,CAT,COSTX,QTYBEFORE,QTYVAR,PESO,LARGO,ALTO,ANCHO,CONTRPERC,Zqty,ZqtyVar,ZcostX
2018-02-10,SKU3921,17Q3,-1.0,17,Q,3,LOC4,IG56,HTS119,1,1,B,PC,CAT17,-289.8802,38.0,-2.63,0.0,0.0,0.0,0.0,0.01,0.01746243711511834,0.03760992567195201,0.0167211199492686
2018-02-10,SKU3922,17Q2,1.0,17,Q,2,LOC4,IG56,HTS119,1,1,B,PC,CAT17,289.5527,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.019035811657820013,0.011185546890146227,0.026760374856272855
2018-02-10,SKU3923,17W2,4.0,17,W,2,LOC4,IG56,HTS119,1,1,C,PC,CAT17,1111.3121,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02139587347187253,0.012723590625059874,0.08842640569867906
2018-02-10,SKU3924,17B2,-1.0,17,B,2,LOC4,IG56,HTS119,1,1,B,PC,CAT17,-266.8633,11.0,-9.09,0.0,0.0,0.0,0.0,0.0,0.01746243711511834,0.04378804680588126,0.014993898009006548
2018-02-10,SKU3926,15P7,-2.0,15,P,7,LOC4,IG56,HTS119,1,1,C,PC,CAT17,-517.0436,18.0,-11.11,0.0,0.0,0.0,0.0,0.0,0.0166757498437675,0.04571990511710992,0.033767794718873735
2018-02-10,SKU3927,18O9,18.0,18,O,9,LOC4,IG56,HTS119,1,1,B,PC,CAT17,7206.8887,1.0,1800.0,0.0,0.0,0.0,0.0,0.01,0.032409495270784267,1.6863632166894869,0.5458474155682947
2018-02-10,SKU3927,19I8,-3.0,19,I,8,LOC4,IG56,HTS119,1,1,B,PC,CAT17,-1201.1481,16.0,-18.75,0.0,0.0,0.0,0.0,0.01,0.01588906257241666,0.0530265375417569,0.08510399993469343
2018-02-10,SKU3927,19N8,-21.0,19,N,8,LOC4,IG56,HTS119,1,1,B,PC,CAT17,-8408.0369,21.0,-100.0,0.0,0.0,0.0,0.0,0.01,0.0017286916881015697,0.1307312344661767,0.6259195075134223
2018-02-10,SKU3927,22H7,2.0,22,H,7,LOC4,IG56,HTS119,1,1,B,PC,CAT17,800.7654,8.0,25.0,0.0,0.0,0.0,0.0,0.01,0.019822498929170852,0.011185546890146227,0.06512252577931645
2018-02-10,SKU3928,02I10,2.0,2,I,10,LOC5,IG56,HTS119,1,1,A,PC,CAT17,792.6879,15.0,13.33,0.0,0.0,0.0,0.0,0.01,0.019822498929170852,0.022346332282244436,0.06451637833016095
2018-02-10,SKU3928,17G5,1.0,17,G,5,LOC4,IG56,HTS119,1,1,A,PC,CAT17,396.3439,9.0,11.11,0.0,0.0,0.0,0.0,0.01,0.019035811657820013,0.024469463693594734,0.03477414315986338
2018-02-10,SKU3928,17J2,-12.0,17,J,2,LOC4,IG56,HTS119,1,1,A,PC,CAT17,-4756.1273,12.0,-100.0,0.0,0.0,0.0,0.0,0.01,0.008808877130259116,0.1307312344661767,0.3518748540208317
2018-02-10,SKU3930,18D1,-8.0,18,D,1,LOC4,IG56,HTS119,1,1,B,PC,CAT17,-2825.4134,19.0,-42.11,0.0,0.0,0.0,0.0,0.01,0.01195562621566247,0.07536723563596548,0.20699125073590136
