AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
17,IG56,HTS119,1/1,B,PC,CAT17,-289.8802,-2.63
17,IG56,HTS119,1/1,B,PC,CAT17,289.5527,25.0
17,IG56,HTS119,1/1,C,PC,CAT17,1111.3121,50.0
17,IG56,HTS119,1/1,B,PC,CAT17,-266.8633,-9.09
15,IG56,HTS119,1/1,C,PC,CAT17,-517.0436,-11.11
18,IG56,HTS119,1/1,B,PC,CAT17,7206.8887,1800.0
19,IG56,HTS119,1/1,B,PC,CAT17,-1201.1481,-18.75
19,IG56,HTS119,1/1,B,PC,CAT17,-8408.0369,-100.0
22,IG56,HTS119,1/1,B,PC,CAT17,800.7654,25.0
2,IG56,HTS119,1/1,A,PC,CAT17,792.6879,13.33
17,IG56,HTS119,1/1,A,PC,CAT17,396.3439,11.11
17,IG56,HTS119,1/1,A,PC,CAT17,-4756.1273,-100.0
18,IG56,HTS119,1/1,B,PC,CAT17,-2825.4134,-42.11
18,IG56,HTS119,1/1,A,PC,CAT17,-1127.2411,-13.04
22,IG56,HTS119,1/1,A,PC,CAT17,-3757.4705,-100.0
23,IG56,HTS119,1/1,A,PC,CAT17,751.4941,3.85
2,IG56,HTS119,1/1,B,PC,CAT17,-704.0251,-13.33
18,IG56,HTS119,1/1,B,PC,CAT17,-1056.0377,-100.0
22,IG56,HTS119,1/1,B,PC,CAT17,1408.0503,28.57
16,IG56,HTS119,1/0,C,PC,CAT17,964.1434,25.0
13,IG56,HTS119,1/0,C,PC,CAT17,2166.3698,81.82
16,IG56,HTS119,1/0,C,PC,CAT17,-2407.0776,-100.0
2,IG56,HTS119,1/0,C,PC,CAT17,-2194.626,-100.0
17,IG56,HTS119,1/0,C,PC,CAT17,-2821.6620000000003,-100.0
17,IG56,HTS119,1/0,C,PC,CAT17,257.9916,7.14
19,IG56,HTS119,1/0,C,PC,CAT17,852.4345,6.67
18,IG56,HTS119,1/0,C,PC,CAT17,-2515.3665,-100.0
18,IG56,HTS119,1/0,C,PC,CAT17,-2723.8614,-100.0
12,IG46,HTS119,1/1,B,PC,CAT17,-8177.0401,-100.0
17,IG46,HTS119,1/1,B,PC,CAT17,-227.14,-3.92
17,IG46,HTS119,1/1,B,PC,CAT17,170.355,1.9
13,IG46,HTS119,1/1,A,PC,CAT17,-340.71,-6.19
13,IG46,HTS119,1/1,A,PC,CAT17,-2952.82,-98.11
14,IG46,HTS119,1/1,A,PC,CAT17,-56.785,-2.44
15,IG46,HTS119,1/1,A,PC,CAT17,1135.7,16.67
16,IG46,HTS119,1/1,A,PC,CAT17,1135.7,16.67
99,IG46,HTS119,1/1,A,PC,CAT17,-1192.485,-100.0
14,IG46,HTS119,1/1,C,PC,CAT17,-88.52799999999999,-1.79
13,IG46,HTS119,1/1,B,PC,CAT17,-575.4321,-9.89
14,IG46,HTS119,1/1,C,PC,CAT17,686.0922,26.96
99,IG46,HTS119,1/1,C,PC,CAT17,-708.2242,-100.0
13,IG46,HTS119,1/1,B,PC,CAT17,110.66,1.93
