,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
0,17,IG56,HTS119,1/1,B,PC,CAT17,-0.029976424191149407,-0.03718491092654876
1,17,IG56,HTS119,1/1,B,PC,CAT17,0.09247195696607997,-0.006927625733611673
2,17,IG56,HTS119,1/1,C,PC,CAT17,0.2661298701269242,0.02044957766209687
3,17,IG56,HTS119,1/1,B,PC,CAT17,-0.02511238877952912,-0.04425918028399984
4,15,IG56,HTS119,1/1,C,PC,CAT17,-0.07798162132126087,-0.04647125831837309
5,18,IG56,HTS119,1/1,B,PC,CAT17,1.5542746870503132,1.936853815361695
6,19,IG56,HTS119,1/1,B,PC,CAT17,-0.22254967841186762,-0.05483773167610163
7,19,IG56,HTS119,1/1,B,PC,CAT17,-1.7455420158165393,-0.14381364271215438
8,22,IG56,HTS119,1/1,B,PC,CAT17,0.2005037369047344,-0.006927625733611673
9,2,IG56,HTS119,1/1,A,PC,CAT17,0.19879676307084004,-0.019707304278728424
10,17,IG56,HTS119,1/1,A,PC,CAT17,0.11503955635824067,-0.022138399940267343
11,17,IG56,HTS119,1/1,A,PC,CAT17,-0.9738039618459328,-0.14381364271215438
12,18,IG56,HTS119,1/1,B,PC,CAT17,-0.5657967680314965,-0.0804189905290517
13,18,IG56,HTS119,1/1,A,PC,CAT17,-0.20693131689634553,-0.04858477842052179
14,22,IG56,HTS119,1/1,A,PC,CAT17,-0.7627632900241239,-0.14381364271215438
15,23,IG56,HTS119,1/1,A,PC,CAT17,0.1900915029385371,-0.0300887398063811
16,2,IG56,HTS119,1/1,B,PC,CAT17,-0.11749539760381314,-0.048902353979912015
17,18,IG56,HTS119,1/1,B,PC,CAT17,-0.19188429236099266,-0.14381364271215438
18,22,IG56,HTS119,1/1,B,PC,CAT17,0.32883792867435935,-0.0030181610887044926
19,16,IG56,HTS119,1/0,C,PC,CAT17,0.23502951481052095,-0.006927625733611673
20,13,IG56,HTS119,1/0,C,PC,CAT17,0.48908943523354786,0.0552952821441547
21,16,IG56,HTS119,1/0,C,PC,CAT17,-0.4773921546757232,-0.14381364271215438
22,2,IG56,HTS119,1/0,C,PC,CAT17,-0.43249592166192097,-0.14381364271215438
23,17,IG56,HTS119,1/0,C,PC,CAT17,-0.5650040052162107,-0.14381364271215438
24,17,IG56,HTS119,1/0,C,PC,CAT17,0.08580232256571811,-0.026485899839505857
25,19,IG56,HTS119,1/0,C,PC,CAT17,0.2114226848119916,-0.027000591263345176
26,18,IG56,HTS119,1/0,C,PC,CAT17,-0.5002762548058627,-0.14381364271215438
27,18,IG56,HTS119,1/0,C,PC,CAT17,-0.5443363400798235,-0.14381364271215438
28,12,IG46,HTS119,1/1,B,PC,CAT17,-1.6967267272602624,-0.14381364271215438
29,17,IG46,HTS119,1/1,B,PC,CAT17,-0.01671788135818151,-0.03859757462176732
30,17,IG46,HTS119,1/1,B,PC,CAT17,0.06728255988029992,-0.03222416167124637
31,13,IG46,HTS119,1/1,A,PC,CAT17,-0.040718007426319064,-0.04108342469009765
32,13,IG46,HTS119,1/1,A,PC,CAT17,-0.5927209069934828,-0.14174392613543885
33,14,IG46,HTS119,1/1,A,PC,CAT17,0.019282307744024816,-0.03697684418074137
34,15,IG46,HTS119,1/1,A,PC,CAT17,0.2712836314594691,-0.016049709905061757
35,16,IG46,HTS119,1/1,A,PC,CAT17,0.2712836314594691,-0.016049709905061757
36,99,IG46,HTS119,1/1,A,PC,CAT17,-0.2207189529373507,-0.14381364271215438
37,14,IG46,HTS119,1/1,C,PC,CAT17,0.012574233412943631,-0.03626503689245295
38,13,IG46,HTS119,1/1,B,PC,CAT17,-0.09032054322783346,-0.04513525079266252
39,14,IG46,HTS119,1/1,C,PC,CAT17,0.1762704776229104,-0.004781252987388122
40,99,IG46,HTS119,1/1,C,PC,CAT17,-0.11838277040801069,-0.14381364271215438
41,13,IG46,HTS119,1/1,B,PC,CAT17,0.05466754248453105,-0.032191309027171516
42,14,IG46,HTS119,1/1,C,PC,CAT17,0.4615696358388042,0.05406878343202697
43,14,IG46,HTS119,1/1,C,PC,CAT17,-0.417713031647767,-0.14381364271215438
44,12,IG46,HTS119,1/1,A,PC,CAT17,-0.01671788135818151,-0.0382142937742274
45,2,IG46,HTS119,1/1,A,PC,CAT17,-0.13671851169886928,-0.04566089309786012
46,15,IG46,HTS119,1/1,A,PC,CAT17,-0.07671819652852539,-0.052559948353578675
47,16,IG46,HTS119,1/1,A,PC,CAT17,-0.08871825956259419,-0.04408396618226731
48,17,IG46,HTS119,1/1,A,PC,CAT17,-0.01671788135818151,-0.03691113889259168
49,14,IG46,HTS119,1/1,A,PC,CAT17,0.35528407269795054,0.0712945198086068
50,14,IG46,HTS119,1/1,A,PC,CAT17,-1.4327253405107494,-0.0929029952774948
51,14,IG46,HTS119,1/1,A,PC,CAT17,1.6272907754416932,1.2897552850193694
52,12,IG46,HTS119,1/1,B,PC,CAT17,0.49928482910677585,0.04478243604020263
53,12,IG46,HTS119,1/1,B,PC,CAT17,0.9552872244013894,8.39787381674891
54,12,IG46,HTS119,1/1,B,PC,CAT17,-0.26871920507362584,-0.057509746727522786
55,3,IG46,HTS119,1/1,A,PC,CAT17,-0.14201485368702904,-0.04335025713126232
56,17,IG46,HTS119,1/1,A,PC,CAT17,-1.547647948227907,-0.14120733294888294
57,99,IG46,HTS119,1/1,A,PC,CAT17,2.746272319349792,0.3946083410305664
58,3,IG46,HTS119,1/1,A,PC,CAT17,0.18532435982067608,-0.018371296753017845
59,17,IG46,HTS119,1/1,A,PC,CAT17,0.4163873328183237,0.6957575783833604
60,17,IG46,HTS119,1/1,A,PC,CAT17,0.10830335473315869,-0.033154986586700456
61,12,IG46,HTS119,1/1,A,PC,CAT17,0.05053762733308601,-0.03339590597658269
62,17,IG46,HTS119,1/1,A,PC,CAT17,-0.08424912628695637,-0.038871346655724406
63,17,IG46,HTS119,1/1,A,PC,CAT17,0.5126635733283813,-0.010497613056412069
64,17,IG46,HTS119,1/1,A,PC,CAT17,-0.4693540671947341,-0.054640615811652526
65,3,IG46,HTS119,1/1,A,PC,CAT17,0.05053762733308601,-0.03269504956965256
66,3,IG46,HTS119,1/1,A,PC,CAT17,-0.04573861317697151,-0.038871346655724406
67,3,IG46,HTS119,1/1,A,PC,CAT17,-0.1035043617094965,-0.05172768137034914
68,3,IG46,HTS119,1/1,A,PC,CAT17,-2.6451970858160725,-0.14381364271215438
69,17,IG46,HTS119,1/1,A,PC,CAT17,0.06979286275562616,0.0021944584378384125
70,17,IG46,HTS119,1/1,A,PC,CAT17,1.4754259572965043,8.178856189583243
71,3,IG46,HTS119,1/1,A,PC,CAT17,0.6089398138384388,0.0052716560995160556
72,17,IG46,HTS119,1/1,A,PC,CAT17,-0.199780602219554,-0.14381364271215438
73,99,IG46,HTS119,1/1,A,PC,CAT17,-0.43084357521720157,-0.14381364271215438
74,14,IG46,HTS119,1/1,C,PR,CAT17,-1.7917041883848999,-0.14381364271215438
75,14,IG46,HTS119,1/1,C,PR,CAT17,-0.12063316525259639,-0.037951472621628596
76,14,IG46,HTS119,1/1,C,PR,CAT17,-0.006696513229578901,-0.03683448272308369
77,16,IG46,HTS119,1/1,C,PR,CAT17,-1.1764462167427199,-0.08174404717340399
78,12,IG46,HTS119,1/1,C,PR,CAT17,0.03887815603260901,-0.030986712077760343
79,14,IG46,HTS119,1/1,C,PR,CAT17,0.023686585523578177,-0.035443720790581695
80,14,IG46,HTS119,1/1,C,PR,CAT17,0.47943323588055275,0.02044957766209687
81,15,IG46,HTS119,1/1,C,PR,CAT17,0.03887815603260901,-0.03384489211227231
82,12,IG46,HTS119,1/1,A,BX,CAT17,-0.2573548696018603,-0.04566089309786012
83,14,IG46,HTS119,1/1,A,BX,CAT17,1.1094273736848688,1.2300291780912918
84,15,IG46,HTS119,1/1,A,BX,CAT17,-0.12152558871289175,-0.040097845367852145
85,13,IG46,HTS119,1/1,A,BX,CAT17,-0.3592268355516997,-0.06857013689938904
86,17,IG46,HTS119,1/1,A,BX,CAT17,1.0754700376132875,0.08282579787887921
87,99,IG46,HTS119,1/1,A,BX,CAT17,-1.5816904480822256,-0.14381364271215438
