AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR,PESO,LARGO,ALTO,ANCHO,CONTRPERC,Cluster Labels
12,IG46,HTS119,1/1,B,PC,CAT17,-1.668991672282392,-0.1409230511266865,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,B,PC,CAT17,-0.018108696203993732,-0.03960371345749786,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,B,PC,CAT17,0.06443545156162195,-0.033466343086612366,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
13,IG46,HTS119,1/1,A,PC,CAT17,-0.04169273842274107,-0.041997498808341506,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
13,IG46,HTS119,1/1,A,PC,CAT17,-0.5841257094539299,-0.13892998755263605,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
14,IG46,HTS119,1/1,A,PC,CAT17,0.017267367124127277,-0.03804300758998745,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
15,IG46,HTS119,1/1,A,PC,CAT17,0.2648998104209744,-0.0178909203412552,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
16,IG46,HTS119,1/1,A,PC,CAT17,0.2648998104209744,-0.0178909203412552,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
99,IG46,HTS119,1/1,A,PC,CAT17,-0.21857305506334612,-0.1409230511266865,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
14,IG46,HTS119,1/1,C,PC,CAT17,0.010675588906730985,-0.03735756244547275,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.21609228763062732,0
13,IG46,HTS119,1/1,B,PC,CAT17,-0.09043532815658835,-0.04589926347711751,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.19251503079206095,0
14,IG46,HTS119,1/1,C,PC,CAT17,0.17153387454813723,-0.007039796438091678,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.21609228763062732,0
99,IG46,HTS119,1/1,C,PC,CAT17,-0.11801104791282784,-0.1409230511266865,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.21609228763062732,0
