AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
17,IG56,HTS119,1/1,B,PC,CAT17,-0.029976424191149407,-0.05324994695213551
17,IG56,HTS119,1/1,B,PC,CAT17,0.09247195696607997,-0.022998963334845416
17,IG56,HTS119,1/1,C,PC,CAT17,0.2661298701269242,0.0043725383094633885
17,IG56,HTS119,1/1,B,PC,CAT17,-0.02511238877952912,-0.060322742977024904
15,IG56,HTS119,1/1,C,PC,CAT17,-0.07798162132126087,-0.06253436030988506
18,IG56,HTS119,1/1,B,PC,CAT17,1.5542746870503132,1.9203776534110797
19,IG56,HTS119,1/1,B,PC,CAT17,-0.22254967841186762,-0.07089909121238583
19,IG56,HTS119,1/1,B,PC,CAT17,-1.7455420158165393,-0.15985647155638946
22,IG56,HTS119,1/1,B,PC,CAT17,0.2005037369047344,-0.022998963334845416
2,IG56,HTS119,1/1,A,PC,CAT17,0.19879676307084004,-0.03577598030240877
17,IG56,HTS119,1/1,A,PC,CAT17,0.11503955635824067,-0.03820656964842339
17,IG56,HTS119,1/1,A,PC,CAT17,-0.9738039618459328,-0.15985647155638946
18,IG56,HTS119,1/1,B,PC,CAT17,-0.5657967680314965,-0.09647502234882797
18,IG56,HTS119,1/1,A,PC,CAT17,-0.20693131689634553,-0.0646474402368257
22,IG56,HTS119,1/1,A,PC,CAT17,-0.7627632900241239,-0.15985647155638946
23,IG56,HTS119,1/1,A,PC,CAT17,0.1900915029385371,-0.04615525372593066
2,IG56,HTS119,1/1,B,PC,CAT17,-0.11749539760381314,-0.06496494965589968
18,IG56,HTS119,1/1,B,PC,CAT17,-0.19188429236099266,-0.15985647155638946
22,IG56,HTS119,1/1,B,PC,CAT17,0.32883792867435935,-0.01909031290003812
16,IG56,HTS119,1/0,C,PC,CAT17,0.23502951481052095,-0.022998963334845416
13,IG56,HTS119,1/0,C,PC,CAT17,0.48908943523354786,0.039210985602339626
16,IG56,HTS119,1/0,C,PC,CAT17,-0.4773921546757232,-0.15985647155638946
2,IG56,HTS119,1/0,C,PC,CAT17,-0.43249592166192097,-0.15985647155638946
17,IG56,HTS119,1/0,C,PC,CAT17,-0.5650040052162107,-0.15985647155638946
17,IG56,HTS119,1/0,C,PC,CAT17,0.08580232256571811,-0.042553164109539625
